ds,y_actual,y_predicted,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
2023-10-04,173.66000366210938,173.12115,170.85187,171.69547,172.10567,172.53873,173.12115,173.60854,174.31485,175.05652,176.76494
2023-10-05,174.91000366210938,175.20572,172.27386,173.38628,173.92787,174.54555,175.20572,175.80104,176.5899,177.4806,179.3053
2023-10-06,177.49000549316406,175.70927,173.32921,174.23941,174.77243,175.20563,175.70927,176.17873,176.79707,177.53279,178.83134
2023-10-09,178.99000549316406,176.90031,174.69313,175.51682,176.05942,176.49248,176.90031,177.3366,177.90233,178.58092,179.72534
2023-10-10,178.38999938964844,178.07416,175.88092,176.72005,177.24783,177.70772,178.07416,178.50836,179.08939,179.76147,180.85263
2023-10-11,179.8000030517578,177.8733,175.69736,176.52495,177.02507,177.45422,177.8733,178.3051,178.78636,179.39055,180.35385
2023-10-12,180.7100067138672,178.51958,176.16403,177.04361,177.57457,178.03749,178.51958,178.93745,179.41838,180.06487,181.0611
2023-10-13,178.85000610351562,179.6131,177.40292,178.2574,178.79318,179.13354,179.6131,179.87947,180.2585,180.83153,181.49663
2023-10-16,178.72000122070312,179.59756,177.77586,178.45259,178.99615,179.3173,179.59756,179.8397,180.06061,180.53423,180.9601
2023-10-17,177.14999389648438,178.8298,176.86632,177.54297,178.05211,178.40367,178.8298,179.08821,179.39575,179.84312,180.327
2023-10-18,175.83999633789062,177.01762,174.89209,175.62383,176.14725,176.51016,177.01762,177.3807,177.77159,178.30383,178.93903
2023-10-19,175.4600067138672,175.64561,173.70058,174.34393,174.84781,175.19481,175.64561,175.94319,176.33916,176.81812,177.44183
2023-10-20,172.8800048828125,174.96744,173.30757,173.84027,174.24117,174.58821,174.96744,175.23311,175.53934,175.939,176.49542
2023-10-23,173.0,172.98978,171.32701,171.87367,172.21146,172.52106,172.98978,173.16219,173.43454,173.83885,174.42897
2023-10-24,173.44000244140625,173.22757,171.30844,171.97311,172.41331,172.79092,173.22757,173.48553,173.82283,174.34497,175.08293
2023-10-25,171.10000610351562,174.33002,172.40239,173.0951,173.56958,173.94258,174.33002,174.59697,174.92923,175.44485,176.2434
2023-10-26,166.88999938964844,171.27103,169.83374,170.27393,170.65886,170.95576,171.27103,171.42387,171.73601,172.17372,172.88997
2023-10-27,168.22000122070312,167.21037,165.54854,166.16626,166.5013,166.95113,167.21037,167.51057,167.77011,168.36429,169.22128
2023-10-30,170.2899932861328,168.71426,167.07942,167.73705,168.18707,168.42545,168.71426,169.06255,169.3731,169.86623,170.7147
2023-10-31,170.77000427246094,170.87155,168.94484,169.64406,170.09816,170.4407,170.87155,171.19449,171.60403,172.1479,173.02263
2023-11-01,173.97000122070312,171.46689,169.6453,170.37999,170.794,171.08186,171.46689,171.79703,172.13297,172.65225,173.3913
2023-11-02,177.57000732421875,175.35197,173.07838,173.90776,174.38171,174.8305,175.35197,175.69899,176.16994,176.69272,177.52031
2023-11-03,176.64999389648438,179.69893,177.19019,178.16455,178.71936,179.22223,179.69893,179.98122,180.48907,180.92497,181.7357
2023-11-06,179.22999572753906,178.08595,175.63383,176.72606,177.4137,177.67085,178.08595,178.42204,178.8212,179.3936,180.22774
2023-11-07,181.82000732421875,179.71622,177.09314,178.15201,178.85107,179.31052,179.71622,180.13205,180.61348,181.29721,182.2567
2023-11-08,182.88999938964844,181.15593,178.72964,179.6631,180.2791,180.73012,181.15593,181.47385,181.9246,182.58897,183.33704
2023-11-09,182.41000366210938,183.48738,180.9495,181.94977,182.6006,183.0138,183.48738,183.59703,184.02602,184.60098,185.1099
2023-11-10,186.39999389648438,182.60504,180.22714,181.08119,181.77507,182.12389,182.60504,182.70804,183.0217,183.535,183.91107
2023-11-13,184.8000030517578,185.70314,182.59097,183.788,184.70985,185.16647,185.70314,186.02007,186.38266,187.11092,187.79684
2023-11-14,187.44000244140625,185.40974,182.51549,183.58168,184.46967,184.95435,185.40974,185.76022,185.97025,186.59373,187.17711
2023-11-15,188.00999450683594,188.27306,185.04535,186.26149,187.26738,187.87378,188.27306,188.71152,189.0114,189.68971,190.42131
2023-11-16,189.7100067138672,188.39526,184.8181,186.3124,187.4066,187.96703,188.39526,188.89139,189.2093,190.00673,190.71257
2023-11-17,189.69000244140625,189.7085,185.91272,187.67966,188.8771,189.42032,189.7085,190.20145,190.513,191.3386,192.02731
2023-11-20,191.4499969482422,190.06027,186.29985,187.69533,188.66139,189.48468,190.06027,190.54547,190.76561,191.42154,192.44403
2023-11-21,190.63999938964844,191.10744,186.16234,188.18492,189.61661,190.40192,191.10744,191.54147,191.81122,192.6163,193.77907
2023-11-22,191.30999755859375,189.70671,184.70757,186.78937,188.34296,188.98483,189.70671,190.1559,190.44623,191.09009,192.35927
2023-11-24,189.97000122070312,191.62929,187.67862,189.65508,190.7196,191.33368,191.62929,191.74307,192.25905,192.82877,193.68063
2023-11-27,189.7899932861328,189.38918,186.16528,187.70374,188.55579,189.02304,189.38918,189.3568,190.15738,190.67432,191.59421
2023-11-28,190.39999389648438,188.48802,185.5207,186.97113,187.78711,187.98521,188.48802,188.68047,189.02608,189.57324,190.20712
2023-11-29,189.3699951171875,190.65036,188.14244,189.40288,189.95035,190.46426,190.65036,190.77281,191.40944,191.70241,192.39514
2023-11-30,189.9499969482422,189.00937,186.75684,187.87196,188.31126,188.52655,189.00937,189.254,189.51869,189.94511,190.64618
